STATE_CODE,COUNTY_NAME,COUNTY_CODE,PLACE_NAME,PLACE_TYPE,PLACE_CODE
AK,Anchorage,020,Anchorage,Municipality of,03000
AK,Anchorage,020,Birchwood,,03000
AK,Anchorage,020,Campbell,,03000
AK,Anchorage,020,Chugiak,,03000
AK,Anchorage,020,Eagle River,,03000
AK,Anchorage,020,Eklutna,,03000
AK,Anchorage,020,Girdwood,,03000
AK,Anchorage,020,Mountain View,,03000
AK,Anchorage,020,Nunaka Valley,,03000
AK,Anchorage,020,Peters Creek,,03000
AK,Anchorage,020,Rogers Park,,03000
AK,Anchorage,020,Spenard,,03000
AK,Anchorage,020,Turnagain Heights,,03000
AK,Fairbanks North Star,090,Aurora,,24230
AK,Fairbanks North Star,090,Fairbanks,City of,24230
AK,Fairbanks North Star,090,Hamilton Acres,,24230
AK,Fairbanks North Star,090,Lemeta,,24230
AK,Fairbanks North Star,090,Slaterville,,24230
AK,Juneau,110,Auke Bay,,36400
AK,Juneau,110,Douglas,,36400
AK,Juneau,110,Juneau,City and Borough of,36400
AK,Juneau,110,Lemon Creek,,36400
AK,Juneau,110,Tee Harbor,,36400
AK,Juneau,110,Thane,,36400
AK,Juneau,110,West Juneau,,36400
AL,Autauga,001,Millbrook,City of,48712
AL,Autauga,001,Prattville,City of,62328
AL,Baldwin,003,Daphne,City of,19648
AL,Baldwin,003,Fairhope,City of,25240
AL,Baldwin,003,Foley,City of,26992
AL,Baldwin,003,Magnolia Beach,,25240
AL,Baldwin,003,Seacliff,,25240
AL,Baldwin,003,Volanta,,25240
AL,Barbour,005,Eufaula,City of,24568
AL,Barbour,005,Hoboken,,24568
AL,Calhoun,015,Anniston,City of,01852
AL,Calhoun,015,Blue Mountain,,01852
AL,Calhoun,015,Bynum,,57576
AL,Calhoun,015,Golden Springs,,01852
AL,Calhoun,015,Jacksonville,City of,38272
AL,Calhoun,015,Lardent,,01852
AL,Calhoun,015,Oxanna,,01852
AL,Calhoun,015,Oxford,City of,57576
AL,Chilton,021,Calera,City of,11416
AL,Coffee,031,Enterprise,City of,24184
AL,Colbert,033,Lakeview Highlands,,53016
AL,Colbert,033,Muscle Shoals,City of,53016
AL,Colbert,033,Steenson Hollow,,53016
AL,Cullman,043,Cullman,City of,18976
AL,Dale,045,Dothan,City of,21184
AL,Dale,045,Enterprise,City of,24184
AL,Dale,045,Ozark,City of,57648
AL,Dallas,047,Selma,City of,69120
AL,DeKalb,049,Douglas,,27616
AL,DeKalb,049,Fort Payne,City of,27616
